,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
4139,Four Lions,UK,304137.0,Comedy,2010,Will Adamsdale,97,7.3,R,Certified Fresh,83,134,Upright,80.0,35,111,23
4409,The Darkest Hour,USA,21426805.0,Action,2011,Emile Hirsch,89,4.9,PG-13,Rotten,12,59,Spilled,25.0,10,7,52
4174,Get Him to the Greek,USA,60974475.0,Comedy,2010,Jonah Hill,109,6.4,R,Certified Fresh,72,199,Upright,62.0,46,143,56
860,Scent of a Woman,USA,63895607.0,Drama,1992,Al Pacino,156,8.0,R,Certified Fresh,88,43,Upright,92.0,9,38,5
2692,The Adventures of Pluto Nash,USA,4420080.0,Comedy,2002,Eddie Murphy,95,3.8,PG-13,Rotten,4,89,Spilled,19.0,23,4,85
2025,Slappy and the Stinkers,USA,34488.0,Comedy,1998,BD Wong,78,5.0,PG,Rotten,0,5,Upright,62.0,0,0,5
1345,Judge Dredd,USA,34693481.0,Action,1995,Sylvester Stallone,96,5.5,R,Rotten,17,52,Spilled,30.0,11,9,43
5086,The Stanford Prison Experiment,USA,643557.0,Biography,2015,Ezra Miller,122,6.9,R,Certified Fresh,84,98,Upright,75.0,32,82,16
1079,Stalingrad,Germany,77848.0,Drama,1993,Dominique Horwitz,134,7.5,R,Rotten,50,74,Spilled,41.0,28,37,37
4507,Spring Breakers,USA,14123773.0,Crime,2012,Vanessa Hudgens,94,5.3,R,Fresh,67,190,Spilled,38.0,46,127,63
3253,Pretty Persuasion,USA,305688.0,Comedy,2005,Evan Rachel Wood,100,6.6,R,Rotten,32,77,Upright,62.0,29,25,52
2494,Enigma,UK,4298329.0,Drama,2001,Dougray Scott,119,6.4,R,Fresh,72,106,Spilled,55.0,32,76,30
4107,A Nightmare on Elm Street,USA,63075011.0,Horror,2010,Jackie Earle Haley,95,5.2,R,Rotten,15,178,Spilled,43.0,35,27,151
4658,The Reluctant Fundamentalist,USA,519535.0,Drama,2012,Riz Ahmed,130,6.9,R,Rotten,57,98,Upright,61.0,32,56,42
1276,Blankman,USA,7892208.0,Comedy,1994,Damon Wayans,92,4.8,PG-13,Rotten,13,15,Spilled,40.0,3,2,13
2438,Ghost World,USA,6217849.0,Comedy,2001,Steve Buscemi,111,7.4,R,Certified Fresh,92,158,Upright,84.0,41,146,12
108,Under the Cherry Moon,USA,10090429.0,Comedy,1986,Prince,98,4.9,PG-13,Rotten,34,35,Upright,67.0,11,12,23
2185,In Dreams,USA,12017369.0,Drama,1999,Annette Bening,100,5.5,R,Rotten,24,50,Spilled,40.0,12,12,38
3985,Hannah Montana: The Movie,USA,79566871.0,Comedy,2009,Miley Cyrus,102,4.3,G,Rotten,43,132,Upright,67.0,40,57,75
3033,A Dirty Shame,USA,1339668.0,Comedy,2004,Tracey Ullman,89,5.1,NC17,Rotten,53,117,Spilled,51.0,35,62,55
4365,Margin Call,USA,5354039.0,Drama,2011,Zachary Quinto,107,7.1,R,Certified Fresh,87,167,Upright,74.0,44,145,22
3592,The Kingdom,USA,47536778.0,Action,2007,Jamie Foxx,110,7.1,R,Rotten,51,185,Upright,76.0,51,94,91
5256,Bad Moms,USA,113257297.0,Comedy,2016,Mila Kunis,100,6.2,R,Rotten,58,165,Upright,63.0,37,96,69
3397,The Omen,USA,54607383.0,Horror,2006,Liev Schreiber,110,5.5,R,Certified Fresh,85,48,Upright,80.0,6,41,7
368,Talk Radio,USA,3468572.0,Drama,1988,Eric Bogosian,110,7.3,R,Certified Fresh,82,49,Upright,81.0,13,40,9
3869,The Tale of Despereaux,UK,50877145.0,Animation,2008,Matthew Broderick,93,6.1,G,Rotten,57,109,Spilled,44.0,33,62,47
4114,Remember Me,USA,19068240.0,Drama,2010,Robert Pattinson,113,7.2,PG-13,Rotten,27,138,Upright,69.0,41,37,101
