id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
192,Blind Date,USA,39321715.0,Comedy,1987,Kim Basinger,95,PG-13,Rotten,21,24,18531.0,3,5,19
193,Blind Date,USA,39321715.0,Comedy,1987,Kim Basinger,95,NR,Rotten,33,21,504.0,10,7,14
194,House II: The Second Story,USA,7800000.0,Comedy,1987,Arye Gross,88,PG-13,Rotten,9,11,8391.0,0,1,10
195,Throw Momma from the Train,USA,57915972.0,Comedy,1987,Danny DeVito,88,PG-13,Fresh,62,34,40503.0,6,21,13
196,The Stepfather,UK,2488740.0,Horror,1987,Terry O'Quinn,89,PG-13,Rotten,11,62,982207.0,14,7,55
197,The Stepfather,UK,2488740.0,Horror,1987,Terry O'Quinn,89,R,Fresh,88,32,3318.0,8,28,4
198,The Stepfather,USA,29062561.0,Crime,2009,Penn Badgley,101,PG-13,Rotten,11,62,982207.0,14,7,55
199,The Stepfather,USA,29062561.0,Crime,2009,Penn Badgley,101,R,Fresh,88,32,3318.0,8,28,4
200,The Hidden,USA,9747988.0,Action,1987,Kyle MacLachlan,96,R,Fresh,76,25,5639.0,6,19,6
201,Barfly,USA,3221568.0,Comedy,1987,Mickey Rourke,100,R,Fresh,74,19,7675.0,3,14,5
202,Three O'Clock High,USA,3685862.0,Comedy,1987,Casey Siemaszko,97,PG-13,Fresh,67,12,6042.0,1,8,4
203,The Believers,USA,18753438.0,Crime,1987,Martin Sheen,114,R,Rotten,35,17,3462.0,1,6,11
204,Radio Days,USA,14792779.0,Comedy,1987,Mia Farrow,88,PG,Fresh,89,27,11337.0,6,24,3
205,Aria,UK,1028679.0,Comedy,1987,John Hurt,90,R,Rotten,50,12,2270.0,2,6,6
206,Cry Freedom,UK,5899797.0,Biography,1987,Denzel Washington,157,PG,Fresh,83,23,9520.0,7,19,4
207,Ironweed,USA,7393346.0,Drama,1987,Jack Nicholson,143,R,Fresh,62,21,2809.0,8,13,8
208,Black Widow,USA,25205460.0,Crime,1987,Debra Winger,102,R,Rotten,48,21,3798.0,2,10,11
209,Stakeout,USA,65673233.0,Action,1987,Richard Dreyfuss,117,R,Fresh,87,23,19126.0,6,20,3
210,Bagdad Cafe,West Germany,3587303.0,Comedy,1987,Marianne Sägebrecht,95,PG,Fresh,85,20,7373.0,2,17,3
211,Revenge of the Nerds II: Nerds in Paradise,USA,30063289.0,Comedy,1987,Robert Carradine,88,PG-13,Rotten,7,27,25975.0,8,2,25
212,Death Wish 4: The Crackdown,USA,6880310.0,Action,1987,Charles Bronson,99,R,Rotten,14,7,8092.0,0,1,6
213,Project X,USA,18532286.0,Comedy,1987,Matthew Broderick,108,PG,Fresh,75,20,8766.0,9,15,5
214,Project X,USA,18532286.0,Comedy,1987,Matthew Broderick,108,R,Rotten,28,137,95239.0,27,38,99
215,Project X,USA,54731865.0,Comedy,2012,Thomas Mann,88,PG,Fresh,75,20,8766.0,9,15,5
216,Project X,USA,54731865.0,Comedy,2012,Thomas Mann,88,R,Rotten,28,137,95239.0,27,38,99
217,Man on Fire,France,519596.0,Action,1987,Scott Glenn,87,R,Rotten,39,168,423464.0,44,65,103
218,Man on Fire,USA,77911774.0,Action,2004,Denzel Washington,146,R,Rotten,39,168,423464.0,44,65,103
219,Ishtar,USA,14375181.0,Action,1987,Warren Beatty,107,PG-13,Rotten,38,53,5006.0,12,20,33
220,Hollywood Shuffle,USA,5228617.0,Comedy,1987,Robert Townsend,78,R,Fresh,88,24,4114.0,6,21,3
221,House of Games,USA,2585639.0,Crime,1987,Lindsay Crouse,102,R,Fresh,96,26,6478.0,1,25,1
222,No Man's Land,USA,2877571.0,Crime,1987,Charlie Sheen,100,R,Rotten,50,6,3160.0,1,3,3
223,No Man's Land,USA,2877571.0,Crime,1987,Charlie Sheen,100,R,Certified Fresh,93,98,12008.0,27,91,7
224,Suspect,USA,18782400.0,Crime,1987,Cher,121,R,Fresh,69,16,6772.0,1,11,5
225,The Principal,USA,19734940.0,Action,1987,Jim Belushi,109,R,Rotten,50,10,7199.0,0,5,5
226,Outrageous Fortune,USA,52864741.0,Comedy,1987,Shelley Long,99,R,Rotten,50,20,7500.0,6,10,10
227,Extreme Prejudice,USA,11307844.0,Action,1987,Nick Nolte,96,R,Fresh,67,9,2856.0,1,6,3
228,Leonard Part 6,USA,4916871.0,Action,1987,Bill Cosby,85,PG,Rotten,9,11,2563.0,0,1,10
229,Street Smart,USA,1119112.0,Crime,1987,Christopher Reeve,97,R,Fresh,64,14,1337.0,5,9,5
230,Back to the Beach,USA,13110903.0,Comedy,1987,Frankie Avalon,92,PG,Fresh,71,14,8035.0,1,10,4
231,Fatal Beauty,USA,12046526.0,Action,1987,Whoopi Goldberg,104,R,Rotten,23,13,7434.0,4,3,10
232,White Water Summer,USA,300859.0,Adventure,1987,Kevin Bacon,90,PG,Rotten,29,7,6945.0,0,2,5
233,The Whales of August,USA,1338198.0,Drama,1987,Bette Davis,90,PG,Fresh,60,10,1552.0,1,6,4
234,Hiding Out,USA,7019441.0,Comedy,1987,Jon Cryer,98,PG-13,Rotten,33,6,2957.0,1,2,4
235,Hot Pursuit,USA,4215859.0,Comedy,1987,John Cusack,93,PG-13,Rotten,7,170,26784.0,42,12,158
236,Hot Pursuit,USA,34507079.0,Action,2015,Reese Witherspoon,87,PG-13,Rotten,7,170,26784.0,42,12,158
237,A Prayer for the Dying,UK,1432687.0,Action,1987,Mickey Rourke,107,R,Rotten,56,9,2756.0,1,5,4
238,Gardens of Stone,USA,5262047.0,Drama,1987,James Caan,111,R,Rotten,47,15,2432.0,7,7,8
239,Wanted: Dead or Alive,USA,7555000.0,Action,1987,Rutger Hauer,106,R,Rotten,33,9,5283.0,1,3,6
240,Made in Heaven,USA,4572845.0,Comedy,1987,Timothy Hutton,100,PG,Rotten,45,11,3884.0,1,5,6
241,September,USA,486434.0,Drama,1987,Elaine Stritch,83,PG,Fresh,67,15,4417.0,2,10,5
242,The Dead,UK,4370078.0,Drama,1987,Anjelica Huston,83,PG,Fresh,93,28,2810.0,10,26,2
243,The Dead,UK,4370078.0,Drama,1987,Anjelica Huston,83,R,Fresh,70,20,1495.0,7,14,6
244,Nuts,USA,30950002.0,Drama,1987,Barbra Streisand,116,R,Rotten,35,23,4194.0,6,8,15
245,Tin Men,USA,25411386.0,Comedy,1987,Richard Dreyfuss,112,R,Fresh,81,21,4987.0,1,17,4
246,Rampage,USA,796368.0,Drama,1987,Michael Biehn,97,PG-13,Rotten,51,264,9432.0,44,135,129
247,Wish You Were Here,UK,3283832.0,Comedy,1987,Emily Lloyd,88,R,Fresh,72,65,6866.0,19,47,18
248,Best Seller,USA,4278150.0,Action,1987,James Woods,95,R,Fresh,71,14,2323.0,1,10,4
249,Promised Land,USA,316199.0,Drama,1987,Jason Gedrick,102,R,Rotten,52,152,20344.0,41,79,73
250,Promised Land,USA,316199.0,Drama,1987,Jason Gedrick,102,R,Fresh,73,11,52.0,5,8,3
251,Promised Land,USA,7597898.0,Drama,2012,Matt Damon,100,R,Rotten,52,152,20344.0,41,79,73
